title;artist;top genre;year;bpm;energy;danceability ;dB;liveness;valence;duration;acousticness;speechiness ;popularity
Welcome to the Black Parade;My Chemical Romance;emo;2006;97;91;22;-4;22;24;311;0;8;79
What Do You Mean?;Justin Bieber;canadian pop;2015;125;57;85;-8;8;79;206;59;10;79
White Iverson;Post Malone;dfw rap;2016;130;56;68;-8;8;31;257;23;4;79
Young, Wild & Free (feat. Bruno Mars);Snoop Dogg;g funk;2011;95;66;72;-6;12;53;207;5;14;79
A Thousand Miles;Vanessa Carlton;lilith;2002;95;83;56;-4;16;27;237;32;4;78
Angel;Shaggy;dance pop;2000;171;77;74;-3;4;81;235;12;18;78
Are You Gonna Be My Girl;Jet;garage rock;2003;105;95;61;-3;15;54;214;0;9;78
Astronaut In The Ocean;Masked Wolf;australian hip hop;2021;150;70;78;-7;15;47;133;18;9;78
Better Off Alone;Alice Deejay;bouncy house;2000;137;88;67;-6;28;79;215;0;6;78
break up with your girlfriend i'm bored;Ariana Grande;pop;2019;170;55;73;-5;11;34;190;4;9;78
Breaking Me;Topic;german dance;2019;122;72;79;-6;13;66;167;22;22;78
Callaita;Bad Bunny;reggaeton;2019;176;62;61;-5;24;24;251;60;31;78
Cheating on You;Charlie Puth;pop;2019;123;54;75;-7;10;60;197;1;3;78
Chill Bill (feat. J. Davi$ & Spooks);Rob $tone;san diego rap;2016;108;43;89;-10;9;23;177;3;14;78
Clint Eastwood;Gorillaz;alternative hip hop;2001;168;69;66;-9;7;53;341;3;17;78
Club Can't Handle Me (feat. David Guetta);Flo Rida;dance pop;2010;128;87;62;-4;6;47;235;3;3;78
Collard Greens;ScHoolboy Q;gangster rap;2014;154;57;83;-5;21;65;300;3;6;78
Counting Stars;OneRepublic;piano rock;2014;122;71;66;-5;12;48;258;7;4;78
Dance, Dance;Fall Out Boy;emo;2005;114;96;62;-3;9;45;180;1;15;78
Dear Maria, Count Me In;All Time Low;modern rock;2007;181;90;46;-3;21;57;183;1;8;78
Diamonds;Rihanna;barbadian pop;2012;92;71;56;-5;11;39;225;0;5;78
Drive;Incubus;alternative metal;1999;91;79;65;-7;12;67;232;6;4;78
Drop It Like It's Hot;Snoop Dogg;g funk;2004;92;63;89;-4;10;66;266;19;22;78
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack";The Weeknd;canadian contemporary r&b;2014;120;38;66;-6;10;43;252;39;3;78
Elastic Heart;Sia;australian dance;2014;130;79;42;-5;15;50;257;1;5;78
Family Affair;Mary J. Blige;dance pop;2001;93;55;91;-4;9;97;266;13;4;78
Feels (feat. Pharrell Williams, Katy Perry & Big Sean);Calvin Harris;dance pop;2017;101;75;89;-3;9;87;223;6;6;78
Firestone;Kygo;edm;2016;114;63;70;-7;10;41;272;39;4;78
Get Busy;Sean Paul;dance pop;2022;100;82;74;-4;16;73;212;61;4;78
Girls Want Girls (with Lil Baby);Drake;canadian hip hop;2021;87;44;77;-9;14;38;222;18;29;78
Glorious (feat. Skylar Grey);Macklemore;pop rap;2017;140;79;73;-5;11;36;220;3;5;78
Here Without You;3 Doors Down;alternative metal;2002;144;53;56;-7;21;23;239;5;3;78
Here's Your Perfect;Jamie Miller;pop soul;2021;113;45;56;-5;15;42;159;50;6;78
How We Do;The Game;gangster rap;2005;98;65;86;-7;3;64;236;5;25;78
I Don't Care (with Justin Bieber);Ed Sheeran;pop;2019;102;68;80;-5;9;84;220;9;4;78
i hate u i love u (feat. olivia o'brien);gnash;alt z;2016;93;28;49;-13;10;18;251;69;30;78
I Miss You;blink-182;alternative metal;2003;110;71;42;-8;9;59;227;0;5;78
Impossible;James Arthur;pop;2013;170;70;38;-5;11;30;209;14;9;78
It Will Rain;Bruno Mars;dance pop;2011;150;84;58;-7;8;48;258;34;5;78
It's Not Living (If It's Not With You);The 1975;modern alternative rock;2018;121;84;62;-5;6;53;248;0;3;78
Just Can’t Get Enough;Black Eyed Peas;dance pop;2010;94;63;66;-9;11;26;219;19;18;78
La Tortura (feat. Alejandro Sanz);Shakira;colombian pop;2005;100;78;74;-5;12;81;213;3;4;78
Lady - Hear Me Tonight;Modjo;disco house;2001;126;81;72;-6;6;87;307;1;4;78
Lantas;Juicy Luicy;indonesian pop;2020;86;31;59;-8;35;55;234;79;3;78
Lean On (feat. MØ & DJ Snake);Major Lazer;dance pop;2015;98;81;72;-3;56;27;177;0;6;78
Life Goes On;BTS;k-pop;2020;81;72;57;-6;37;45;207;1;4;78
Life Goes On;Oliver Tree;alternative hip hop;2021;80;49;70;-5;12;57;162;19;8;78
Love Me Again;John Newman;dance pop;2013;126;89;50;-5;10;21;240;0;4;78
Malibu;Miley Cyrus;pop;2017;140;78;57;-6;8;34;232;8;6;78
Mambo No. 5 (a Little Bit of...);Lou Bega;latin pop;1999;174;81;62;-7;31;89;220;10;41;78
Me & U;Cassie;dance pop;2006;100;45;80;-5;7;74;192;35;3;78
Me, Myself & I;G-Eazy;indie pop rap;2015;112;67;76;-7;16;39;251;2;10;78
My House;Flo Rida;dance pop;2015;94;70;69;-5;13;74;192;2;5;78
On Top Of The World;Imagine Dragons;modern rock;2012;100;92;63;-6;8;76;192;8;15;78
One More Night;Maroon 5;pop;2012;93;82;72;-3;8;62;220;6;3;78
Permission to Dance;BTS;k-pop;2021;125;74;70;-5;34;65;188;1;4;78
Physical;Dua Lipa;dance pop;2020;147;84;65;-4;10;75;194;1;5;78
Piece Of Your Heart;MEDUZA;pop dance;2019;124;74;68;-7;7;63;153;4;3;78
Problem;Ariana Grande;pop;2014;103;81;66;-5;16;63;194;2;15;78
Pump It;Black Eyed Peas;dance pop;2005;154;93;65;-3;75;74;213;1;18;78
Replay;Iyaz;dance pop;2009;91;75;71;-6;17;20;182;17;7;78
Right Round;Flo Rida;dance pop;2009;125;67;72;-7;23;71;205;1;6;78
Rock Your Body;Justin Timberlake;dance pop;2002;101;71;89;-6;5;82;267;20;14;78
ROXANNE;Arizona Zervas;pop rap;2019;117;60;62;-6;46;46;164;5;15;78
17;MK;house;2017;122;83;70;-7;7;67;196;0;7;65
Side To Side;Ariana Grande;pop;2016;159;74;65;-6;24;61;226;5;23;78
Sk8er Boi;Avril Lavigne;canadian pop;2002;150;90;49;-4;36;48;204;0;5;78
SOS;Rihanna;barbadian pop;2006;137;67;68;-5;41;53;239;0;4;78
Take A Bow;Rihanna;barbadian pop;2008;82;47;70;-8;9;57;229;25;7;78
Taki Taki (with Selena Gomez & Ozuna & Cardi B);DJ Snake;edm;2018;96;80;84;-4;6;62;213;16;23;78
Te Boté - Remix;Nio Garcia;reggaeton;2018;97;68;90;-3;6;44;418;54;21;78
The Kill;Thirty Seconds To Mars;modern rock;2005;183;91;18;-4;58;29;232;0;8;78
Tusa;KAROL G;reggaeton;2019;101;72;80;-3;6;57;201;30;30;78
Unwritten;Natasha Bedingfield;dance pop;2004;100;80;71;-6;8;63;259;1;4;78
Use Somebody;Kings of Leon;modern rock;2008;137;72;28;-5;20;17;231;1;4;78
Valerie (feat. Amy Winehouse) - Version Revisited;Mark Ronson;pop soul;2007;106;83;70;-5;10;89;219;0;6;78
Video Games;Lana Del Rey;art pop;2012;73;25;24;-10;9;18;282;81;3;78
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground);Shakira;colombian pop;2010;127;87;76;-6;7;75;203;1;15;78
We Are Young (feat. Janelle Monáe);fun.;baroque pop;2012;184;64;38;-6;8;74;251;2;8;78
When You Were Young;The Killers;alternative rock;2006;130;99;47;-3;28;32;220;0;11;78
Who Says;Selena Gomez & The Scene;pop;2011;101;93;68;-3;15;74;196;8;5;78
Womanizer;Britney Spears;dance pop;2008;139;70;72;-5;9;24;224;7;6;78
Work from Home (feat. Ty Dolla $ign);Fifth Harmony;girl group;2016;105;59;80;-6;6;59;214;10;4;78
1-800-273-8255;Logic;conscious hip hop;2017;100;57;62;-8;19;36;250;57;5;77
21 Questions;50 Cent;east coast hip hop;2003;93;81;65;-4;4;90;224;35;30;77
3 Nights;Dominic Fike;alternative pop rock;2018;152;52;82;-7;10;88;178;22;9;77
Are You With Me;Lost Frequencies;belgian edm;2016;121;61;76;-8;12;39;138;26;4;77
Barbie Girl;Aqua;bubblegum dance;1997;130;88;81;-11;37;96;198;2;4;77
Beauty And A Beat;Justin Bieber;canadian pop;2012;128;84;60;-5;7;53;228;0;6;77
Best of You;Foo Fighters;alternative metal;2005;130;94;37;-5;19;37;256;0;7;77
Bleeding Love;Leona Lewis;british soul;2007;104;66;64;-6;15;23;262;19;4;77
Blurred Lines;Robin Thicke;dance pop;2013;120;60;85;-5;8;84;264;0;4;77
Body;Loud Luxury;edm;2017;122;76;75;-4;5;58;163;5;4;77
Break Your Heart;Taio Cruz;dance pop;2010;122;93;61;-4;9;57;202;3;3;77
Buy U a Drank (Shawty Snappin') (feat. Yung Joc);T-Pain;dance pop;2007;80;55;69;-8;7;61;228;1;12;77
By the Way;Red Hot Chili Peppers;alternative rock;2002;122;97;45;-5;10;20;217;3;11;77
California Gurls;Katy Perry;pop;2012;125;75;79;-4;16;43;235;0;6;77
Call on Me - Radio Mix;Eric Prydz;edm;2004;126;84;60;-7;84;45;171;0;38;77
Can't Get You out of My Head;Kylie Minogue;australian dance;2001;126;56;77;-8;12;96;231;3;3;77
Clarity;Zedd;complextro;2012;128;78;51;-3;7;18;271;4;7;77
Cooler Than Me - Single Mix;Mike Posner;dance pop;2010;130;82;77;-5;69;63;213;18;5;77
Dance Monkey;Tones And I;australian pop;2021;98;59;82;-6;15;51;209;69;9;77
DARE;Gorillaz;alternative hip hop;2005;120;89;76;-6;30;97;245;2;4;77
Don't Call Me Up;Mabel;pop;2019;99;88;67;-3;8;23;178;30;15;77
Don't Know Why;Norah Jones;contemporary vocal jazz;2002;89;22;75;-11;7;64;186;85;3;77
Eastside (with Halsey & Khalid);benny blanco;pop;2018;89;68;56;-8;12;32;174;56;32;77
Envolver;Anitta;funk pop;2021;92;74;81;-5;9;40;194;15;8;77
Everybody (Backstreet's Back) - Radio Edit;Backstreet Boys;boy band;1997;108;85;73;-4;27;61;225;4;4;77
F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar);A$AP Rocky;east coast hip hop;2013;96;69;85;-7;11;66;234;2;28;77
Face Down;The Red Jumpsuit Apparatus;alternative metal;2006;93;93;55;-2;13;46;192;0;4;77
Firework;Katy Perry;pop;2010;124;83;64;-5;11;65;228;14;5;77
Halo;Beyoncé;pop;2008;80;72;51;-6;6;47;262;27;6;77
Hear Me Now;Alok;electro house;2016;122;46;78;-8;7;50;195;55;4;77
Hello;Adele;british soul;2015;79;43;58;-6;9;29;296;33;3;77
Higher Love;Kygo;edm;2019;104;68;69;-7;10;40;228;2;3;77
Hot In Herre;Nelly;dance pop;2002;107;75;96;-5;6;91;228;21;12;77
Human;The Killers;alternative rock;2008;135;80;56;-8;9;58;245;0;6;77
Hung Up;Madonna;dance pop;2005;125;65;65;-8;7;41;338;0;5;77
ily (i love you baby) (feat. Emilee);Surf Mesa;tropical house;2019;112;77;67;-8;39;33;177;7;9;77
In My Feelings;Drake;canadian hip hop;2018;91;63;84;-6;40;35;218;6;13;77
In The Night;The Weeknd;canadian contemporary r&b;2015;168;68;51;-5;5;54;236;8;7;77
In Too Deep;Sum 41;alternative metal;2001;116;84;57;-6;6;77;207;0;5;77
Intentions (feat. Quavo);Justin Bieber;canadian pop;2020;148;55;81;-7;10;87;213;30;6;77
International Love (feat. Chris Brown);Pitbull;dance pop;2011;120;86;67;-3;34;65;227;1;5;77
Jealous;Labrinth;indie poptimism;2014;117;15;44;-9;11;10;288;87;5;77
Let Me Blow Ya Mind;Eve;contemporary r&b;2001;90;56;91;-4;7;90;230;24;11;77
Let Me Go (with Alesso, Florida Georgia Line & watt);Hailee Steinfeld;pop;2017;103;71;66;-4;8;74;175;3;5;77
Live Your Life;T.I.;atl hip hop;2008;160;86;38;-3;21;48;339;7;26;77
2002;Anne-Marie;hel;2018;96;68;70;-3;14;60;187;4;12;82
Losin Control;Russ;hawaiian hip hop;2017;97;25;76;-7;10;21;238;52;14;77
Love On Top;Beyoncé;pop;2011;94;75;65;-5;60;65;267;8;9;77
Low Life (feat. The Weeknd);Future;atl hip hop;2016;144;33;72;-8;15;10;314;34;7;77
Middle;DJ Snake;edm;2016;105;70;58;-5;5;22;221;1;4;77
MONTERO (Call Me By Your Name);Lil Nas X;lgbtq+ hip hop;2021;179;51;61;-7;38;76;138;30;15;77
Motley Crew;Post Malone;dfw rap;2021;130;63;80;-4;10;29;184;9;8;77
Nevermind;Dennis Lloyd;israeli pop;2017;100;69;60;-8;41;8;157;16;20;77
Nights Like This (feat. Ty Dolla $ign);Kehlani;pop;2019;146;73;61;-5;15;29;202;37;15;77
No Hands (feat. Roscoe Dash & Wale);Waka Flocka Flame;atl hip hop;2010;131;60;76;-6;24;36;264;1;4;77
oui;Jeremih;chicago rap;2015;79;72;42;-4;11;60;238;21;10;77
Paris;The Chainsmokers;electropop;2017;100;66;65;-6;9;22;222;2;3;77
Part Of Me;Katy Perry;pop;2012;130;92;68;-5;7;77;216;0;4;77
Perfect Strangers;Jonas Blue;pop;2018;118;86;73;-4;21;70;197;39;5;77
Pompeii;Bastille;metropopolis;2013;127;72;68;-6;27;57;214;8;4;77
Praise God;Kanye West;chicago rap;2021;118;55;80;-6;26;21;227;1;17;77
Price Tag;Jessie J;dance pop;2011;175;83;64;-4;27;67;223;3;18;77
Pure Water (with Migos);Mustard;cali rap;2019;202;56;68;-6;34;14;192;17;13;77
Renegades;X Ambassadors;modern alternative rock;2015;90;86;53;-6;23;53;195;1;9;77
Reptilia;The Strokes;alternative rock;2003;158;65;49;-5;10;77;220;0;3;77
Ride Wit Me;Nelly;dance pop;2000;102;70;85;-6;24;72;292;6;5;77
Runaway (U & I);Galantis;dance pop;2015;126;81;51;-4;9;38;227;1;5;77
Savage Love (Laxed - Siren Beat);Jawsh 685;nz pop;2020;150;48;77;-9;27;76;171;23;8;77
Say It;Tory Lanez;canadian hip hop;2016;107;53;55;-11;12;25;238;9;6;77
Secreto;Anuel AA;reggaeton;2019;92;80;81;-4;14;71;259;60;13;77
Secrets;OneRepublic;piano rock;2009;148;76;52;-6;12;38;225;7;4;77
She Wolf;Shakira;colombian pop;2009;122;69;87;-7;23;87;189;28;4;77
Slow Hands;Niall Horan;pop;2017;86;43;74;-7;6;85;188;1;5;77
Smooth Criminal;Alien Ant Farm;alternative metal;2001;127;96;65;-4;14;87;209;0;6;77
Snowman;Sia;australian dance;2018;105;51;72;-6;9;33;166;48;3;77
Stir Fry;Migos;atl hip hop;2018;182;82;82;-5;16;51;190;0;27;77
Stole the Show;Kygo;edm;2016;100;64;64;-8;32;48;223;27;23;77
Stronger (What Doesn't Kill You);Kelly Clarkson;dance pop;2011;116;94;56;-4;11;68;222;5;5;77
Sucker for Pain (with Wiz Khalifa & Imagine Dragons & Logic & Ty Dolla $ign feat. X Ambassadors);Lil Wayne;hip hop;2016;169;79;50;-4;65;74;243;26;32;77
Sunday Best;Surfaces;bedroom soul;2019;112;53;88;-7;7;69;159;18;6;77
Swalla (feat. Nicki Minaj & Ty Dolla $ign);Jason Derulo;dance pop;2017;98;82;70;-4;19;78;216;8;11;77
Swang;Rae Sremmurd;melodic rap;2016;140;31;68;-9;10;17;208;20;6;77
Take Care;Drake;canadian hip hop;2011;122;52;63;-10;9;30;277;3;27;77
Take You Dancing;Jason Derulo;dance pop;2020;113;71;79;-4;9;75;190;3;4;77
Talking to the Moon;Bruno Mars;dance pop;2010;146;59;50;-5;11;8;218;51;3;77
The Climb;Miley Cyrus;pop;2009;161;60;34;-6;14;30;235;6;3;77
THE SCOTTS;THE SCOTTS;viral rap;2020;130;54;72;-8;16;28;166;23;5;77
Vaina Loca;Ozuna;puerto rican pop;2018;94;81;75;-4;20;56;176;32;8;77
We Are Never Ever Getting Back Together;Taylor Swift;pop;2012;86;68;63;-6;12;75;193;1;9;77
Wild Thoughts (feat. Rihanna & Bryson Tiller);DJ Khaled;hip hop;2017;98;67;67;-3;12;63;204;3;7;77
Without Me;Halsey;electropop;2018;136;49;75;-7;9;53;202;30;7;77
You're Beautiful;James Blunt;neo mellow;2005;82;48;68;-10;9;45;209;63;3;77
You've Got The Love;Florence + The Machine;baroque pop;2009;110;69;57;-5;10;40;169;0;3;77
ZEZE (feat. Travis Scott & Offset);Kodak Black;florida drill;2018;98;60;86;-6;9;50;229;5;18;77
679 (feat. Remy Boyz);Fetty Wap;new jersey rap;2015;190;72;62;-6;63;60;197;0;32;76
Airplanes (feat. Hayley Williams of Paramore);B.o.B;atl hip hop;2010;93;87;66;-4;4;38;180;11;12;76
Bad Day;Daniel Powter;canadian pop;2005;140;79;60;-4;15;52;234;45;3;76
Beautiful Day;U2;irish rock;2000;136;93;54;-6;20;39;248;2;6;76
Beautiful People (feat. Khalid);Ed Sheeran;pop;2019;93;65;64;-8;8;55;198;12;19;76
Because Of You;Ne-Yo;dance pop;2007;110;54;81;-6;10;83;267;53;4;76
Behind Blue Eyes;Limp Bizkit;alternative metal;2003;120;49;60;-7;12;9;270;50;3;76
Better Together;Jack Johnson;neo mellow;2005;110;35;87;-9;11;66;208;30;5;76
Black Beatles;Rae Sremmurd;melodic rap;2016;146;63;79;-6;13;36;292;14;6;76
Blueberry Faygo;Lil Mosey;melodic rap;2020;99;55;77;-8;13;35;163;21;4;76
Chasing Pavements;Adele;british soul;2008;80;47;62;-6;11;33;211;29;3;76
China;Anuel AA;reggaeton;2019;105;81;79;-4;8;61;302;8;9;76
Circus;Britney Spears;dance pop;2008;115;73;79;-5;7;76;192;15;5;76
Cleanin' Out My Closet;Eminem;detroit hip hop;2002;148;76;91;-5;8;87;298;7;17;76
Crank That (Soulja Boy);Soulja Boy;atl hip hop;2007;140;74;74;-2;5;80;222;52;8;76
Cry Me a River;Justin Timberlake;dance pop;2002;74;65;62;-7;10;56;288;58;18;76
Dancing With A Stranger (with Normani);Sam Smith;pop;2019;103;52;74;-8;22;35;171;45;7;76
Dangerous Woman;Ariana Grande;pop;2016;134;60;66;-5;36;29;236;5;4;76
Destination Calabria - Radio Edit;Alex Gaudino;disco house;2007;128;95;63;-5;29;31;223;0;4;76
Domino;Jessie J;dance pop;2011;127;56;76;-5;4;78;232;1;3;76
Down On Me;Jeremih;chicago rap;2010;160;60;70;-8;11;59;228;4;11;76
Eenie Meenie;Sean Kingston;dance pop;2010;121;61;72;-4;11;83;202;5;3;76
Fast Car;Jonas Blue;pop;2018;114;58;67;-7;31;55;212;47;6;76
Fat Lip;Sum 41;alternative metal;2001;197;91;40;-5;7;63;178;0;14;76
Girlfriend;Avril Lavigne;canadian pop;2007;164;96;56;-2;21;67;217;0;10;76
Good as Hell;Lizzo;escape room;2019;96;92;68;-3;44;54;160;26;9;76
Good Life;Kanye West;chicago rap;2007;83;81;44;-7;44;49;207;0;35;76
Habits (Stay High);Tove Lo;metropopolis;2014;110;65;73;-4;8;35;209;7;3;76
History;One Direction;boy band;2015;87;70;66;-4;6;80;187;4;5;76
Hold On, We're Going Home;Drake;canadian hip hop;2013;100;41;77;-7;7;29;228;0;10;76
I Don't Fuck With You;Big Sean;detroit hip hop;2015;98;73;82;-5;33;40;284;4;6;76
I Hate Everything About You;Three Days Grace;alternative metal;2003;89;83;50;-5;14;45;231;0;4;76
i'm so tired...;Lauv;pop;2020;101;74;55;-8;20;50;163;17;24;76
In My Place;Coldplay;permanent wave;2002;145;59;42;-5;30;19;227;6;3;76
Infinity 2008 - Klaas Vocal Edit;Guru Josh Project;acid house;2008;128;86;50;-6;35;47;192;0;6;76
Just A Dream;Nelly;dance pop;2010;90;75;53;-6;12;10;238;4;3;76
King Kunta;Kendrick Lamar;conscious hip hop;2015;107;66;88;-5;15;49;235;1;10;76
L'Amour Toujours;Gigi D'Agostino;eurodance;2001;139;88;64;-4;36;74;242;8;3;76
Last Friday Night (T.G.I.F.);Katy Perry;pop;2012;126;82;65;-4;67;77;231;0;4;76
Latch;Disclosure;edm;2013;122;73;50;-5;9;52;256;2;17;76
Let Me Love You;Mario;dance pop;2004;95;58;66;-9;12;56;257;24;9;76
Levitating (feat. DaBaby);Dua Lipa;dance pop;2020;103;83;70;-4;7;92;203;1;6;76
Life is a Highway;Rascal Flatts;contemporary country;2006;103;95;58;-4;22;66;276;0;7;76
Like A G6;Far East Movement;asian american hip hop;2010;125;84;44;-8;12;78;217;1;45;76
Little Do You Know;Alex & Sierra;pop;2014;146;29;50;-9;19;37;185;75;3;76
Little Things;One Direction;boy band;2012;110;22;71;-12;18;53;219;81;3;76
Live While We're Young;One Direction;boy band;2012;126;86;66;-2;14;93;200;5;5;76
Loco Contigo (feat. J. Balvin & Tyga);DJ Snake;edm;2019;192;76;69;-3;10;37;185;28;22;76
Meant to Be (feat. Florida Georgia Line);Bebe Rexha;dance pop;2017;154;78;64;-6;8;58;164;5;9;76
Mi Gente;J Balvin;reggaeton;2018;105;70;55;-5;14;29;185;2;8;76
Mine;Bazzi;pop;2018;143;79;71;-4;45;72;131;2;7;76
Misery Business;Paramore;candy pop;2007;173;91;52;-4;11;73;212;0;7;76
Naive;The Kooks;brighton indie;2006;100;81;39;-6;15;74;204;8;9;76
No One;Alicia Keys;neo soul;2007;90;55;64;-5;13;17;254;2;3;76
Nothin' on You (feat. Bruno Mars);B.o.B;atl hip hop;2010;104;85;69;-6;9;74;268;39;5;76
One Call Away;Charlie Puth;pop;2016;91;61;67;-5;12;47;194;40;3;76
Paralyzer;Finger Eleven;alternative metal;2007;106;94;64;-3;23;86;208;16;5;76
Plain Jane;A$AP Ferg;hip hop;2017;170;84;80;-5;9;52;174;7;28;76
pov;Ariana Grande;pop;2020;132;53;49;-6;10;17;202;36;6;76
Rain On Me (with Ariana Grande);Lady Gaga;art pop;2020;123;86;67;-4;32;65;182;2;4;76
Rockabye (feat. Sean Paul & Anne-Marie);Clean Bandit;pop;2016;102;76;72;-4;18;74;251;41;5;76
Roses;The Chainsmokers;electropop;2015;100;80;71;-7;31;34;227;4;6;76
Sail;AWOLNATION;la indie;2011;119;44;83;-10;10;27;259;44;6;76
212;Azealia Banks;escape room;2014;126;77;85;-6;8;62;205;1;26;71
Shake That;Eminem;detroit hip hop;2005;107;64;96;-6;16;53;274;5;12;76
Shout Out to My Ex;Little Mix;girl group;2016;126;75;77;-4;11;80;246;2;9;76
Soltera - Remix;Lunay;reggaeton;2019;92;78;80;-4;44;80;266;36;4;76
Somebody Else;The 1975;modern alternative rock;2016;101;79;62;-6;13;46;348;20;6;76
Springsteen;Eric Church;contemporary country;2011;104;81;69;-6;19;93;263;10;3;76
Stacy's Mom;Fountains Of Wayne;pop rock;2003;118;75;77;-5;8;93;198;0;4;76
Take A Look Around;Limp Bizkit;alternative metal;2000;102;85;43;-6;9;51;321;2;5;76
The A Team;Ed Sheeran;pop;2011;85;29;64;-10;18;41;258;67;4;76
The Heart Wants What It Wants;Selena Gomez;pop;2014;83;79;62;-5;14;62;227;5;4;76
The Motto;Drake;canadian hip hop;2011;202;44;77;-9;11;39;182;0;36;76
Too Good;Drake;canadian hip hop;2016;118;65;79;-8;10;40;263;5;10;76
Trap Queen;Fetty Wap;new jersey rap;2015;148;87;75;-4;35;82;222;2;13;76
Troublemaker (feat. Flo Rida);Olly Murs;dance pop;2012;106;86;76;-4;13;97;186;2;6;76
Under Control (feat. Hurts);Calvin Harris;dance pop;2014;126;92;54;-3;12;51;184;13;8;76
Walk It Talk It;Migos;atl hip hop;2018;146;63;91;-5;11;40;276;9;18;76
Want to Want Me;Jason Derulo;dance pop;2015;114;68;78;-6;11;66;208;1;6;76
Where Have You Been;Rihanna;barbadian pop;2011;128;85;72;-6;22;44;243;0;9;76
Where Them Girls At (feat. Nicki Minaj & Flo Rida);David Guetta;big room;2012;130;88;67;-3;26;55;195;6;4;76
Wherever You Will Go;The Calling;neo mellow;2001;112;72;56;-5;12;37;209;4;3;76
Who Knew;P!nk;dance pop;2006;140;73;69;-5;8;46;208;0;3;76
With You;Chris Brown;r&b;2007;86;69;66;-4;14;66;252;13;7;76
X;Nicky Jam;latin hip hop;2019;180;75;59;-5;30;69;173;3;6;76
You And Me;Lifehouse;neo mellow;2005;140;43;46;-8;17;35;195;11;3;76
Your Power;Billie Eilish;art pop;2021;130;28;63;-14;23;21;246;93;8;76
4 Minutes (feat. Justin Timberlake & Timbaland);Madonna;dance pop;2009;113;93;75;-5;23;77;190;1;7;75
Adan y Eva;Paulo Londra;argentine hip hop;2019;172;71;77;-4;7;72;257;32;34;75
Ain't It Fun;Paramore;candy pop;2013;104;89;61;-4;2;67;297;15;9;75
Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson);Felix Jaehn;edm;2018;118;57;78;-7;7;48;186;67;3;75
All Summer Long;Kid Rock;nu metal;2007;103;86;70;-4;10;89;298;2;3;75
Apologize;OneRepublic;piano rock;2007;118;74;59;-6;10;50;208;36;3;75
Ayo;Chris Brown;r&b;2015;98;56;82;-5;9;68;225;4;4;75
Bad and Boujee (feat. Lil Uzi Vert);Migos;atl hip hop;2017;127;67;93;-5;12;17;343;6;24;75
Bad At Love;Halsey;electropop;2017;118;75;68;-4;9;61;181;6;3;75
Bandido;Myke Towers;reggaeton;2020;168;62;71;-5;10;68;233;12;9;75
Bartender (feat. Akon);T-Pain;dance pop;2007;105;39;83;-9;22;44;239;6;6;75
Beautiful Liar;Beyoncé;pop;2007;92;75;76;-4;16;42;200;1;7;75
BICHOTA;KAROL G;reggaeton;2020;164;67;86;-4;10;84;179;21;15;75
Black Skinhead;Kanye West;chicago rap;2013;130;81;77;-6;17;33;188;0;28;75
Blue Jeans;GANGGA;indonesian lo-fi pop;2020;114;30;64;-11;18;29;211;94;3;75
Boulevard of Broken Dreams;Green Day;modern rock;2004;167;68;49;-4;4;51;261;0;3;75
Boyfriend;Justin Bieber;canadian pop;2012;97;55;72;-6;13;33;171;4;5;75
Breaking the Habit;Linkin Park;alternative metal;2003;100;85;58;-5;9;58;197;11;3;75
Breezeblocks;alt-J;indie rock;2012;150;66;62;-7;21;29;227;10;3;75
Build a Bitch;Bella Poarch;modern alternative pop;2021;103;46;86;-7;35;87;123;22;4;75
Cool Kids;Echosmith;electropop;2013;130;67;72;-6;12;79;238;4;3;75
Dangerously;Charlie Puth;pop;2016;112;52;70;-8;20;23;199;36;4;75
Dirt Road Anthem;Jason Aldean;contemporary country;2010;127;74;68;-5;12;64;229;35;4;75
Disco Inferno;50 Cent;east coast hip hop;2005;97;66;93;-5;28;71;214;21;23;75
Don't Matter;Akon;dance pop;2006;125;44;80;-6;33;35;293;24;4;75
Don't Tell 'Em;Jeremih;chicago rap;2015;98;53;86;-5;11;39;267;39;10;75
Everybody's Changing;Keane;neo mellow;2004;94;84;52;-4;11;42;216;0;3;75
Fake Love;Drake;canadian hip hop;2017;134;48;93;-9;18;61;211;11;29;75
Finesse - Remix: feat. Cardi B;Bruno Mars;dance pop;2017;105;86;70;-5;2;93;217;2;10;75
Foolish;Ashanti;dance pop;2002;90;70;67;-6;11;71;227;35;5;75
Forever;Drake;canadian hip hop;2009;104;91;46;-2;18;54;358;25;34;75
Free Fallin' - Live at the Nokia Theatre Los Angeles CA - December 2007;John Mayer;neo mellow;2008;174;30;32;-13;70;44;264;77;3;75
GIRL LIKE ME;Black Eyed Peas;dance pop;2020;124;49;97;-9;7;31;223;2;19;75
Hangover;Taio Cruz;dance pop;2011;128;88;61;-3;7;61;245;1;4;75
Hey Baby (Drop It to the Floor) (feat. T-Pain);Pitbull;dance pop;2011;128;91;60;-3;26;76;234;4;9;75
Hot N Cold;Katy Perry;pop;2008;132;84;71;-4;7;86;220;0;4;75
